Faculty,Block,Floor,Room/Facilities,Label,Color Code,Coordinate
Computer Science and Information Technology,B,F2,Back Stair,53,"(73, 135, 74)","[(137,25),(138,25),(139,25),(140,25),(141,25),(142,25),(143,25),(144,25),(145,25),(146,25)]"
Computer Science and Information Technology,B,F2,Right Stair,54,"(146, 100, 0)","[(255,97),(255,98),(255,99),(255,100),(255,101),(255,102),(255,103),(255,104),(255,105)]"
Computer Science and Information Technology,B,F2,Front Stair,55,"(138, 143, 132)","[(136,254),(137,254),(138,254),(139,254),(140,254),(141,254),(142,254),(143,254),(144,254),(145,254),(146,254)]"
Computer Science and Information Technology,B,F2,Linkbridge,56,"(27, 244, 228)","[(283,88),(283,89),(283,90),(283,91),(283,92),(283,93),(283,94)]"
Computer Science and Information Technology,B,F2,Lift,57,"(231, 82, 189)","[(151,230),(152,230),(153,230),(154,230),(155,230),(156,230),(157,230),(158,230),(159,230),(160,230)]"
Computer Science and Information Technology,B,F0,BA Corridor,84,"(73, 103, 23)","[(286,83),(286,84),(286,85),(286,86),(286,87),(286,88),(286,89)]"
Computer Science and Information Technology,A,F0,AB Corridor,85,"(217, 190, 37)","[(1,114),(1,115),(1,116),(1,117),(1,118)]"
Computer Science and Information Technology,B,F0,Lift,72,"(13, 254, 97)","[(150,228),(151,228),(152,228),(153,228),(154,228)]"
Computer Science and Information Technology,B,F0,Main Stair,73,"(247, 178, 25)","[(200,171),(200,172),(200,173),(200,174),(200,175),(200,176),(200,177),(200,178)]"
Computer Science and Information Technology,B,F1,Student Lounge,2,"(88, 131, 90)","[(164,141),(165,141),(166,141),(167,141),(168,141),(169,141),(170,141),(171,141),(172,141),(173,141),(174,141)]"
Computer Science and Information Technology,B,F1,Seminar Room 3,5,"(186, 245, 127)","[(124,90),(125,90),(126,91),(127,91)]"
Computer Science and Information Technology,B,F1,Toilet_Male,3,"(110, 211, 13)","[(146,42),(146,43),(146,44),(146,45),(146,46),(146,47),(146,48)]"
Computer Science and Information Technology,B,F1,Toilet_Female,4,"(184, 119, 23)","[(146,60),(146,61),(146,62),(146,63),(146,64),(146,65)]"
Computer Science and Information Technology,B,F1,Water Filter,12,"(70, 180, 252)","[(149,78),(150,78),(151,78),(152,78)]"
Computer Science and Information Technology,B,F1,Information System Research Lab,6,"(45, 197, 156)","[(223,25),(224,25),(225,25),(226,25),(227,25)]"
Computer Science and Information Technology,B,F1,Multimedia Research Lab,7,"(217, 16, 168)","[(250,25),(251,25),(252,25),(253,25),(254,25)]"
