,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"PROGRAM: STU_MVT4
MUKASURAT: 1/1",,,,,,,,,,"TARIKH: 30/05/2024
MASA: 11:34 AM ",,,,,,,,,,
,,,,Module Offering,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Module Code,Module Name,,,,Occurrence,MAV Name,,,Academic Year,,Period Slot,,,Target,Activity,Weeks,Day / Start Duration ,Tutor,Location,Room
,GBX0062,ASPIRATION FROM AL MULK,,,,1,ASPIRATION FROM AL MULK (ROOM : BILIK SEMINAR CITRA),,,2023,,S2,,,1,LEC,,"TUESDAY
10:00 - 12:00 (02:00)",DR. MUHAMMAD SHAMSHINOR BIN ABDUL AZZIS,UMKL,
,,,,,,2,ASPIRATION FROM AL MULK (ROOM : BILIK SEMINAR CITRA)(FOR LOCAL STUDENTS ONLY),,,2023,,S2,,,50,LEC,,"TUESDAY
08:00 - 10:00 (02:00)",DR. MUHAMMAD SHAMSHINOR BIN ABDUL AZZIS,UMKL,
,GDA0007,PSYCHOLOGY POSITIVE IN DAILY LIFE,,,,1,PSYCHOLOGY POSITIVE IN DAILY LIFE,,,2023,,S2,,,101,ONL,,"THURSDAY
12:00 - 14:00 (02:00)",DR. ASBAH BINTI RAZALI,UMKL,
,GDI0003,ISLAMIC AKHLAQ EDUCATION,,,,1,ISLAMIC AKHLAQ EDUCATION,,,2023,,S2,,,50,LEC,,"TUESDAY
08:00 - 09:50 (01:50)",ASSOCIATE PROF. DR. FAIZURI BIN ABD. LATIF,UMKL,BS 16 API
,,,,,,2,ISLAMIC AKHLAQ EDUCATION,,,2023,,S2,,,50,LEC,,"TUESDAY
09:00 - 10:50 (01:50)",DR. ATIFAH BINTI AHMAD YUSOFF,UMKL,BS 14 API
,GDM0006,GLOBAL TRENDS IN FOOD AND HEALTH,,,,1,GLOBAL TRENDS IN FOOD AND HEALTH,,,2023,,S2,,,57,ONL,,"TUESDAY
08:00 - 10:00 (02:00)",ASSOCIATE PROF. DR. SHATRAH BINTI OTHMAN,UMKL,
,,,,,,,,,,,,,,,,,,,DR. AIN ZUBAIDAH BINTI AYOB,UMKL,
,,,,,,,,,,,,,,,,,,,DR. ASLINA BINTI PAHRUDIN ARROZI,UMKL,
,,,,,,,,,,,,,,,,,,,PROF. DR. PUTERI SHAFINAZ AKMAR BINTI ABDUL RAHMAN,UMKL,
,,,,,,,,,,,,,,,,,,,DR. THAMIL SELVEE A/P RAMASAMY,UMKL,
